HP:0000002	Abnormality of body height	身高异常
HP:0004297	Abnormality of the biliary system	胆道系统异常
HP:0004298	Abnormality of the abdominal wall	腹壁异常
HP:0004299	Hernia of the abdominal wall	腹壁疝
HP:0004302	Functional motor problems.	运动功能障碍
HP:0004303	Abnormality of muscle fibers	肌纤维异常
HP:0004305	Involuntary movements	不自主运动
HP:0004306	Abnormality of the endocardium	心内膜异常
HP:0004307	Abnormal anatomic location of the heart	心脏解剖位置异常
HP:0004308	Ventricular arrhythmia	室性心律失常
HP:0004309	Ventricular preexcitation	心室预激
HP:0004311	Abnormality of macrophages	巨噬细胞异常
HP:0004312	Abnormality of reticulocytes	网织红细胞异常
HP:0004313	Hypogammaglobulinemia	低丙球蛋白血症
HP:0004315	IgG deficiency	IgG抗体缺乏症
HP:0004319	Hypoaldosteronism	醛固酮减少症
HP:0004320	Vaginal fistula	阴道瘘
HP:0004321	Bladder fistula	膀胱瘘管
HP:0004322	Short stature	身材矮小
HP:0004323	Abnormality of body weight	体重异常
HP:0004324	Increased body weight	体重增加
HP:0004326	Cachexia	恶病质
HP:0004327	Abnormality of the vitreous humor	玻璃体异常
HP:0004328	Abnormality of the anterior segment of the eye	眼睛的眼前节的异常
HP:0004329	Abnormality of the posterior segment of the eye	眼后段的异常
HP:0004330	Increased skull ossification	颅骨骨化增加
HP:0004331	Decreased skull ossification	颅骨骨化减少
HP:0004332	Abnormality of lymphocytes	淋巴细胞异常
HP:0004333	Bone-marrow foam cells	骨髓泡沫细胞
HP:0004334	Dermal atrophy	皮肤萎缩
HP:0004336	Myelin outfoldings	髓鞘外折术
HP:0004337	Abnormality of amino acid metabolism	氨基酸代谢异常
HP:0004338	Abnormality of aromatic amino acid family metabolism	芳香氨基酸族代谢异常
HP:0004339	Abnormality of sulfur amino acid metabolism	含硫氨基酸代谢异常
HP:0004340	Abnormality of vitamin B metabolism	维生素B代谢异常
HP:0004341	Abnormality of the vitamin B12 metabolism	维生素B12代谢异常
HP:0004342	Abnormality of galactoside metabolism	半乳糖代谢异常
HP:0004343	Abnormality of glycosphingolipid metabolism	鞘糖脂代谢异常
HP:0004344	Abnormality of cerebrosidase metabolism	脑苷酶代谢异常
HP:0004345	Abnormality of ganglioside metabolism	神经节苷脂代谢异常
HP:0004347	Weakness of muscles of respiration	呼吸肌无力
HP:0004348	Abnormality of bone mineral density	骨密度异常
HP:0004349	Reduced bone mineral density	骨密度降低
HP:0004352	Abnormality of purine metabolism	嘌呤代谢异常
HP:0004353	Abnormality of pyrimidine metabolism	嘧啶代谢异常
HP:0004354	Abnormality of carboxylic acid metabolism	羧酸代谢异常
HP:0004355	Abnormality of proteoglycan metabolism	蛋白聚糖代谢异常
HP:0004356	Abnormality of lysosomal metabolism	溶酶体代谢异常
HP:0004357	Abnormality of leucine metabolism	亮氨酸代谢异常
HP:0004358	Abnormality of superoxide metabolism	过氧化物代谢异常
HP:0004359	Abnormality of fatty-acid metabolism	脂肪酸代谢异常
HP:0004360	Abnormality of acid-base homeostasis	酸碱平衡异常
HP:0004361	Abnormality of circulating leptin level	血瘦素水平异常
HP:0004362	Abnormality of the enteric ganglia	肠神经节异常
HP:0004363	Abnormality of calcium homeostasis	钙稳态平衡异常
HP:0004364	Abnormality of nitrogen compound homeostasis	氮化合物稳态平衡异常
HP:0004365	Abnormality of tryptophan metabolism	色氨酸代谢异常
HP:0004366	Abnormality of glycolysis	糖酵解异常
HP:0004367	Abnormality of glycoprotein metabolism	糖代谢异常
HP:0004368	Increased purine levels	嘌呤含量增加
HP:0004369	Decreased purine levels	嘌呤含量降低
HP:0004370	Abnormality of temperature regulation	体温调节异常
HP:0004371	Abnormality of glycosaminoglycan metabolism	粘多糖代谢异常
HP:0004372	Reduced consciousness/confusion	意识减弱/意识错乱
HP:0004373	Focal dystonia	局限性肌张力障碍
HP:0004374	Hemiplegia/hemiparesis	偏瘫/轻偏瘫
HP:0004375	Neoplasm of the nervous system	神经系统的肿瘤
HP:0004376	Neuroblastic tumors	成神经细胞瘤
HP:0004377	Hematological neoplasm	血液肿瘤
HP:0004378	Abnormality of the anus	肛门异常
HP:0004379	Abnormality of alkaline phosphatase activity	碱性磷酸酶活性异常
HP:0004380	Aortic valve calcification	主动脉瓣钙化
HP:0004381	Supravalvular aortic stenosis	主动脉瓣上狭窄
HP:0004382	Mitral valve calcification	二尖瓣钙化
HP:0004383	Hypoplastic left heart	左心发育不全
HP:0004384	Type I truncus arteriosus	I型动脉干
HP:0004385	Protracted diarrhea	迁延性腹泻
HP:0004386	Gastrointestinal inflammation	胃肠道炎症
HP:0004387	Enterocolitis	小肠结肠炎
HP:0004388	Microcolon	细小结肠
HP:0004389	Intestinal pseudo-obstruction	假性肠梗阻
HP:0004390	Hamartomatous polyps	错构瘤性息肉
HP:0004392	Prune belly	梅干腹
HP:0004394	Multiple gastric polyps	多发性胃息肉
HP:0004395	Malnutrition	营养不良
HP:0004396	Poor appetite	食欲不振
HP:0004397	Ectopic anus	肛门异位
HP:0004398	Peptic ulcer	消化性溃疡
HP:0004399	Congenital pyloric atresia	先天性幽门闭锁
HP:0004400	Abnormality of the pylorus	幽门异常
HP:0004401	Meconium ileus	胎粪性肠梗阻
HP:0004403	Proximal esophageal atresia	近端食管闭锁
HP:0004404	Abnormality of the nipple	乳头异常
HP:0004405	Prominent nipples	乳头凸出
HP:0004406	Spontaneous, recurrent epistaxis	自发性，反复鼻出血
HP:0004407	Bony paranasal bossing	骨性鼻翼突起
HP:0004408	Abnormality of the sense of smell	嗅觉异常
HP:0004409	Hyposmia	嗅觉减退
HP:0004411	Deviated nasal septum	鼻中隔偏曲
HP:0004414	Abnormality of the pulmonary artery	肺动脉异常
HP:0004415	Pulmonary artery stenosis	肺动脉狭窄
HP:0004416	Precocious atherosclerosis	早发性动脉粥样硬化
HP:0004417	Intermittent claudication	间歇性跛行
HP:0004418	Thrombophlebitis	血栓性静脉炎
HP:0004419	Recurrent thrombophlebitis	复发性血栓性静脉炎
HP:0004420	Arterial thrombosis	动脉血栓形成
HP:0004421	Elevated systolic blood pressure	收缩压升高
HP:0004422	Biparietal narrowing	双侧顶骨部收窄
HP:0004423	Cranium bifidum occultum	隐性颅裂
HP:0004425	Flat forehead	额头扁平
HP:0004426	Abnormality of the cheeks	脸颊异常
HP:0004428	Elfin facies	小精灵脸
HP:0004429	Recurrent viral infections	反复病毒感染
HP:0004430	Severe combined immunodeficiency	重症联合免疫缺陷
HP:0004431	Complement deficiency	补体缺陷
HP:0004432	Agammaglobulinemia	丙种球蛋白缺乏血症
HP:0004433	Secretory IgA deficiency	分泌型IgA缺乏症
HP:0004434	C8 deficiency	补体8（C8）缺陷
HP:0004437	Cranial hyperostosis	颅骨骨质增生
HP:0004438	Hyperostosis frontalis interna	额骨内板增生症
HP:0004440	Coronal craniosynostosis	冠状缝早闭
HP:0004442	Sagittal craniosynostosis	矢状缝早闭
HP:0004444	Spherocytosis	球形红细胞增多症
HP:0004445	Elliptocytosis	椭圆形红细胞增多症
HP:0004446	Stomatocytosis	唇形红细胞增多症
HP:0004447	Poikilocytosis	异形性红细胞
HP:0004448	Fulminant hepatic failure	暴发性肝衰竭
HP:0004450	Preauricular skin furrow	耳前皮肤凹槽
HP:0004451	Postauricular skin tag	耳后皮赘
HP:0004452	Abnormality of the middle ear ossicles	中耳听小骨异常
HP:0004453	Overfolding of the superior helices	耳轮异常
HP:0004454	Abnormal middle ear reflexes	中耳反射异常
HP:0004458	Dilatated internal auditory canal	内听道扩大
HP:0004459	Exostosis of the external auditory canal	外耳道外生骨疣
HP:0004461	Congenital earlobe sinuses	先天性耳垂裂
HP:0004463	Absent brainstem auditory responses	脑干听觉反应消失
HP:0004464	Postauricular pit	耳后凹陷
HP:0004466	Prolonged brainstem auditory evoked potentials	脑干听觉诱发电位延长
HP:0004467	Preauricular pit	耳前凹陷
HP:0004469	Chronic bronchitis	慢性支气管炎
HP:0004470	Atretic occipital cephalocele	闭锁性枕部脑膨出
HP:0004471	aplasia cutis congenita over the scalp vertex	先天性头顶部表皮发育不全
HP:0004472	Mandibular hyperostosis	下颌骨骨质增生
HP:0004474	Persistent open anterior fontanelle	前囟持续不闭合
HP:0004476	aplasia cutis congenita over parietal area	先天性顶叶区表皮发育不全
HP:0004478	Ethmoidal encephalocele	筛骨脑膨出
HP:0004481	Progressive macrocephaly	渐进性大头畸形
HP:0004482	Relative macrocephaly	相对大头畸形
HP:0004484	Craniofacial asymmetry	颅面不对称
HP:0004485	Cessation of head growth	头部生长停滞
HP:0004487	Acrobrachycephaly	尖扁头畸形
HP:0004488	Macrocephaly at birth	出生时巨头畸形
HP:0004490	Calvarial hyperostosis	颅骨骨质增生
HP:0004491	Large posterior fontanelle	大后囟
HP:0004492	Widely patent fontanelles and sutures	前囟及颅缝宽大
HP:0004493	Craniofacial hyperostosis	颅面骨骨质增生
HP:0004495	Thin anteverted nares	瘦朝天鼻孔
HP:0004496	Posterior choanal atresia	后鼻后孔闭锁
HP:0004499	Chronic rhinitis due to narrow nasal airway	由于鼻腔气道狭窄导致的慢性鼻炎
HP:0004502	Bilateral choanal atresia	双侧后鼻孔闭锁
HP:0004510	Pancreatic islet-cell hyperplasia	胰岛细胞增生
HP:0004523	Long eyebrows	长眉
HP:0004524	Temporal hypotrichosis	颞部少毛症
HP:0004527	large clumps of pigment irregularly distributed along hair shaft	沿发干不规则分布大片色素
HP:0004528	Generalized hypotrichosis	泛发性少毛症
HP:0004529	Atrophic, patchy alopecia	萎缩性斑片状脱发
HP:0004532	Sacral hypertrichosis	骶骨多毛症
HP:0004535	Anterior cervical hypertrichosis	颈前区多毛症
HP:0004540	Congenital, generalized hypertrichosis	先天性全身多毛症
HP:0004544	Pointed frontal hairline	前额尖发际线
HP:0004552	Scarring alopecia of scalp	头皮瘢痕性脱发
HP:0004554	Generalized hypertrichosis	泛发性多毛症
HP:0004557	Anterior vertebral fusion	椎体前缘融合
HP:0004562	Beaking of vertebral bodies T12-L3	T12-L3椎体鸟喙样改变
HP:0004563	increased spinal bone density	脊柱骨密度增加
HP:0004565	Severe platyspondyly	重度扁平椎
HP:0004566	Pear-shaped vertebrae	梨形椎骨
HP:0004568	Beaking of vertebral bodies	椎体鸟喙样改变
HP:0004570	Increased vertebral height	椎体高度增加
HP:0004571	Widening of cervical spinal canal	颈椎椎管增宽
HP:0004573	Anterior wedging of  T11	胸11椎体前部楔形
HP:0004575	fusion of midcervical facet joints	中段颈关节面融合
HP:0004576	Sclerotic vertebral endplates	椎体终板硬化
HP:0004581	Increased anterior vertebral height	椎体前缘增高
HP:0004582	Irregularity of vertebral bodies	椎体不规则
HP:0004586	Biconcave vertebral bodies	双凹椎体
HP:0004589	Dysplasia of second lumbar vertebra	第二腰椎发育不良
HP:0004590	Hypoplastic sacrum	骶骨发育不全
HP:0004591	Disc-like vertebral bodies	盘碟状椎体
HP:0004592	Thoracic platyspondyly	扁平胸椎
HP:0004594	hump-shaped mound of bone in central and posterior portions of vertebral endplate	椎体终板中后部骨质驼峰状凸起
HP:0004598	Supernumerary vertebral ossification centers	超数目椎体骨化中心
HP:0004599	Absent or minimally ossified vertebral bodies	椎体缺如或低骨化
HP:0004601	Spina bifida occulta at L5	L5区隐性脊柱裂
HP:0004602	Cervical vertebral fusion (C2/C3)	颈椎（C2 / C3）融合
HP:0004603	Hyperconvex vertebral body endplates	椎体终板过度突出
HP:0004605	Absent vertebral body mineralization	椎体矿化缺如
HP:0004606	Unossified vertebral bodies	椎体未骨化
HP:0004607	Anterior beaking of lower thoracic vertebrae	胸椎下部前缘鸟喙样凸出
HP:0004608	Anteriorly placed odontoid process	齿状突前置
HP:0004609	Patchy distortion of vertebrae	脊椎片状变形
HP:0004610	Lumbar spinal canal stenosis	腰椎管狭窄
HP:0004611	Anterior concavity of thoracic vertebrae	胸椎前凹
HP:0004614	Spina bifida occulta at S1	S1区隐性脊柱裂
HP:0004616	Cleft vertebral arch	椎弓裂
HP:0004617	Butterfly vertebral arch	蝴蝶椎弓
HP:0004618	Sandwich appearance of vertebral bodies	椎体夹心外观
HP:0004619	Lumbar kyphoscoliosis	腰椎后侧凸
HP:0004621	Enlarged vertebral pedicles	椎弓膨大
HP:0004622	Progressive intervertebral space narrowing	椎间隙渐进性变窄
HP:0004625	Biconvex vertebral bodies	双凸椎体
HP:0004626	Lumbar scoliosis	腰椎侧凸
HP:0004629	Small cervical vertebral bodies	颈椎椎体小
HP:0004630	Anterior beaking of thoracic vertebrae	胸椎前缘鸟喙样凸出
HP:0004631	Decreased cervical spine flexion due to contractures of posterior cervical muscles	颈后肌群挛缩致颈椎屈度下降
HP:0004632	cervical segmentation defects	颈椎分节缺陷
HP:0004633	Lower thoracic kyphosis	下胸椎后凸
HP:0004634	Cuboid-shaped vertebral bodies	立方体形椎体
HP:0004635	Cervical vertebrae fusion (C5/C6)	颈椎（C5 / C6）融合
HP:0004637	Decreased cervical spine mobility	颈椎活动减少
HP:0004639	Elevated amniotic fluid alpha-fetoprotein	羊水甲胎蛋白升高
HP:0004646	Hypoplasia of the nasal bone	鼻骨发育不全
HP:0004660	Hypoplasia of facial musculature	面部肌肉发育不全
HP:0004661	Frontalis muscle weakness	额肌乏力
HP:0004664	Facial midline hemangioma	面中线血管瘤
HP:0004673	Decreased facial expression	面部表情减少
HP:0004676	prominent supraorbital arches in adult	成人眉弓突出
HP:0004679	Large tarsal bones	大跗骨
HP:0004681	Deep longitudinal plantar crease	跖部深在皱褶纵向分布
HP:0004684	Talipes valgus	马蹄外翻足
HP:0004686	Short third metatarsal	第三跖骨过短
HP:0004689	Short fourth metatarsal	第4跖骨短
HP:0004690	Thickened Achilles tendon	跟腱增厚
HP:0004691	2-3 toe syndactyly	第二、三脚趾并趾
HP:0004692	4-5 toe syndactyly	第四、五脚趾并趾
HP:0004695	Calcaneal epiphyseal stippling	跟骨骨骺点状钙化
HP:0004696	Talipes cavus equinovarus	马蹄内翻足高弓畸形
HP:0004699	Osteoporotic metatarsal	跖骨骨质疏松
HP:0004704	Short fifth metatarsal	第五跖骨过短
HP:0004712	Renal malrotation	肾旋转不良
HP:0004713	Reversible renal failure	可逆性肾功能衰竭
HP:0004717	Axial malrotation of the kidney	肾轴向旋转异常
HP:0004719	Hyperechogenic kidneys	肾脏回声增强
HP:0004722	Thickening of the glomerular basement membrane	肾小球基底膜增厚
HP:0004724	Calcium nephrolithiasis	钙性肾结石
HP:0004727	Impaired renal concentrating ability	肾浓缩功能障碍
HP:0004729	Acute tubulointerstitial nephritis	急性肾小管间质性肾炎
HP:0004732	Impaired renal uric acid clearance	肾尿酸廓清障碍
HP:0004734	Renal cortical microcysts	肾皮质微小囊肿
HP:0004736	Crossed fused renal ectopia	融合肾移向一侧
HP:0004737	Global glomerulosclerosis	完全性肾小球硬化症
HP:0004742	Abnormality of the renal collecting system	泌尿收集系统异常
HP:0004743	Chronic tubulointerstitial nephritis	慢性肾小管间质性肾炎
HP:0004746	Dense deposit disease	致密物沉积病
HP:0004749	Atrial flutter	心房扑动
HP:0004751	Paroxysmal ventricular tachycardia	阵发性室性心动过速
HP:0004752	Congenital atrioventricular dissociation	先天性房室分离
HP:0004754	Permanent atrial fibrillation	永久性房颤
HP:0004755	Supraventricular tachycardia	室上性心动过速
HP:0004756	Ventricular tachycardia	室性心动过速
HP:0004757	Paroxysmal atrial fibrillation	阵发性房颤
HP:0004758	Effort-induced polymorphic ventricular tachycardias	劳力诱导型多形性室性心动过速
HP:0004759	Nodular calcific aortic valve disease	结节性钙化性主动脉瓣病变
HP:0004760	Congenital septal defect	先天性中隔缺损
HP:0004761	Post-angioplasty coronary artery restenosis	血管成形术后冠状动脉再狭窄
HP:0004762	Hypoplasia of right ventricle	右心室发育不全
HP:0004763	Paroxysmal supraventricular tachycardia	阵发性室上性心动过速
HP:0004764	Myxomatous mitral valve degeneration	黏液瘤样二尖瓣退行性变
HP:0004768	Sparse anterior scalp hair	前发稀疏
HP:0004771	Premature graying of body hair	体毛过早变白
HP:0004779	Brittle scalp hair	头发干枯
HP:0004780	Elbow hypertrichosis	肘部多毛症
HP:0004782	Hypotrichosis of the scalp	头发稀少症
HP:0004783	Duodenal polyposis	十二指肠息肉
HP:0004784	Juvenile gastrointestinal polyposis	幼年性胃肠息肉病
HP:0004785	Malrotation of colon	结肠旋转不良
HP:0004786	Jejunal diverticula	空肠憩室
HP:0004787	Fulminant hepatitis	暴发性肝炎
HP:0004788	Intestinal lymphedema	肠淋巴水肿
HP:0004789	Lactose intolerance	乳糖不耐受
HP:0004790	Hypoplasia of the small intestine	小肠发育不良
HP:0004791	Esophageal ulceration	食管溃疡
HP:0004792	Rectoperineal fistula	直肠会阴瘘
HP:0004794	Malrotation of small bowel	小肠旋转不良
HP:0004795	Hamartomatous stomach polyps	错构瘤性胃息肉
HP:0004796	Gastrointestinal obstruction	胃肠道梗阻
HP:0004797	Multiple small bowel atresias	多发性小肠闭锁
HP:0004798	Recurrent infection of the gastrointestinal tract	胃肠道复发性感染
HP:0004799	Jejunoileal diverticula	空回肠憩室
HP:0004800	Duodenal diverticula	十二指肠憩室
HP:0004802	Episodic hemolytic anemia	阵发性溶血性贫血
HP:0004804	Congenital hemolytic anemia	先天性溶血性贫血
HP:0004808	Acute myeloid leukemia	急性髓性白血病
HP:0004809	Neonatal alloimmune thrombocytopenia	新生儿同种免疫性血小板减少症
HP:0004810	Congenital hypoplastic anemia	先天性发育不良性贫血
HP:0004812	Pre-B-cell acute lymphoblastic leukemia	前B细胞急性淋巴细胞性白血病
HP:0004813	Post-transfusion thrombocytopenia	输血后血小板减少症
HP:0004814	Fava bean-induced hemolytic anemia	蚕豆诱发性溶血性贫血
HP:0004817	Drug-sensitive hemolytic anemia	药物敏感溶血性贫血
HP:0004818	Paroxysmal nocturnal hemoglobinuria	阵发性睡眠性血红蛋白尿症
HP:0004819	Normocytic hypoplastic anemia	正常红细胞发育不全贫血
HP:0004820	Acute myelomonocytic leukemia	急性骨髓单核细胞白血病
HP:0004821	Hypersegmentation of neutrophil nuclei	中性粒细胞核分叶过度
HP:0004822	Atypical elliptocytosis	非典型椭圆形红细胞增多症
HP:0004823	Anisopoikilocytosis	异形红细胞增多症
HP:0004825	Increased hemoglobin oxygen affinity	血红蛋白氧亲和力增加
HP:0004826	Folate-unresponsive megaloblastic anemia	叶酸不应答型巨幼细胞性贫血
HP:0004828	Refractory anemia with ringed sideroblasts	难治性贫血伴环状铁粒幼红细胞
HP:0004831	Recurrent thromboembolism	复发性血栓栓塞
HP:0004835	Microspherocytosis	小球形红细胞症
HP:0004836	Acute promyelocytic leukemia	急性前髓细胞性白血病
HP:0004839	Pyropoikilocytosis	热异形细胞增多症
HP:0004840	Hypochromic microcytic anemia	低色素性小细胞贫血
HP:0004841	Reduced factor XII activity	#####
HP:0004844	Coombs-positive hemolytic anemia	Coombs试验阳性溶血性贫血
HP:0004845	Acute monocytic leukemia	急性单核细胞白血病
HP:0004846	Prolonged bleeding after surgery	手术后出血时间延长
HP:0004848	Ph-positive acute lymphoblastic leukemia	Ph染色体阳性急性淋巴细胞白血病
HP:0004850	Recurrent deep vein thrombosis	复发性深静脉血栓形成
HP:0004851	Folate-responsive megaloblastic anemia	叶酸应答型巨幼细胞性贫血
HP:0004852	Reduced leukocyte alkaline phosphatase	白细胞碱性磷酸酶减少
HP:0004854	Intermittent thrombocytopenia	间歇性血小板减少症
HP:0004855	Reduced protein S activity	蛋白S活性降低
HP:0004856	Normochromic microcytic anemia	正常色素性小细胞贫血
HP:0004857	Hyperchromic macrocytic anemia	#####
HP:0004859	Amegakaryocytic thrombocytopenia	巨核细胞缺乏性血小板减少症
HP:0004860	Thiamine-responsive megaloblastic anemia	硫胺素应答型巨幼细胞性贫血
HP:0004861	refractory macrocytic anemia	难治性大细胞性贫血
HP:0004863	Compensated hemolytic anemia	代偿性溶血性贫血
HP:0004864	Refractory sideroblastic anemia	难治性铁粒幼细胞贫血
HP:0004866	Impaired ADP-induced platelet aggregation	ADP诱导的血小板聚集障碍
HP:0004870	Chronic hemolytic anemia	慢性溶血性贫血
HP:0004871	Perineal fistula	会阴瘘
HP:0004872	Incisional hernia	切口疝
HP:0004875	Neonatal inspiratory stridor	新生儿吸气性喘鸣
HP:0004876	Spontaneous neonatal pneumothorax	新生儿自发性气胸
HP:0004878	Intercostal muscle weakness	肋间肌无力
HP:0004879	intermittent hyperventilation	间歇性过度通气
HP:0004880	Respiratory infections in early life	童年呼吸道感染
HP:0004881	Episodic hypoventilation	阵发性通气不足
HP:0004885	Episodic respiratory distress	阵发性呼吸窘迫
HP:0004886	Congenital laryngeal stridor	先天性喉喘鸣
HP:0004887	Respiratory failure requiring assisted ventilation	呼吸衰竭，需要辅助通气
HP:0004889	Intermittent episodes of respiratory insufficiency due to muscle weakness	肌无力所致的间歇性呼吸功能不全发作
HP:0004890	Elevated pulmonary artery pressure	肺动脉压升高
HP:0004891	Recurrent infections due to aspiration	误吸造成反复感染
HP:0004894	Laryngotracheal stenosis	喉气管狭窄
HP:0004897	Stress/infection-induced lactic acidosis	应激/感染诱发的乳酸酸中毒
HP:0004898	Persistent lactic acidosis	持续性乳酸酸中毒
HP:0004900	Severe lactic acidosis	重度乳酸酸中毒
HP:0004901	Exercise-induced lactic acidemia	运动诱发的乳酸血症
HP:0004902	Congenital lactic acidosis	先天性乳酸酸中毒
HP:0004904	Maturity-onset diabetes of the young	成年发病性青少年糖尿病
HP:0004905	Vitamin A deficiency	维生素A缺乏症
HP:0004906	hypernatremic dehydration	高钠脱水
HP:0004909	hypokalemic hypochloremic metabolic alkalosis	低钾低氯性代谢性碱中毒
HP:0004910	Bicarbonate-wasting renal tubular acidosis	#####
HP:0004911	Episodic metabolic acidosis	阵发性代谢性酸中毒
HP:0004912	Hypophosphatemic rickets	低磷性佝偻病
HP:0004913	Intermittent lactic acidemia	间歇性乳酸血症
HP:0004914	Recurrent infantile hypoglycemia	婴儿反复发作性低血糖
HP:0004915	Impairment of galactose metabolism	半乳糖代谢障碍
HP:0004916	Generalized distal tubular acidosis	远端肾小管性酸中毒
HP:0004918	hyperchloremic metabolic acidosis	高氯性代谢性酸中毒
HP:0004919	Galactose intolerance	半乳糖不耐受
HP:0004920	Phenylpyruvic acidemia	苯丙酮酸血症
HP:0004921	Abnormality of magnesium homeostasis	镁离子稳态平衡异常
HP:0004922	Atypical hyperphenylalaninemia	非典型高苯丙氨酸血症
HP:0004923	Hyperphenylalaninemia	高苯丙氨酸血症
HP:0004924	Abnormal oral glucose tolerance	口服葡萄糖耐量异常
HP:0004925	Chronic lactic acidosis	慢性乳酸酸中毒
HP:0004926	Orthostatic hypotension due to autonomic dysfunction	自主神经功能障碍性体位性低血压
HP:0004927	Pulmonary artery dilatation	肺动脉扩张
HP:0004928	Peripheral arterial stenosis	外周动脉狭窄
HP:0004929	Coronary atherosclerosis	冠状动脉粥样硬化
HP:0004930	Abnormality of the pulmonary vasculature	肺血管异常
HP:0004931	Arteriosclerosis of small cerebral arteries	脑小动脉硬化
HP:0004933	Ascending aortic dissection	升主动脉夹层
HP:0004934	Vascular calcification	血管钙化
HP:0004935	Pulmonary artery atresia	肺动脉闭锁
HP:0004936	Venous thrombosis	静脉血栓形成
HP:0004937	Pulmonary artery aneurysm	肺动脉瘤
HP:0004938	Tortuous cerebral arteries	脑动脉迂曲
HP:0004940	Generalized arterial calcification	周身动脉钙化
HP:0004941	Extrahepatic portal hypertension	肝外性门脉高压
HP:0004942	Aortic aneurysm	主动脉瘤
HP:0004943	Accelerated atherosclerosis	加速性动脉粥样硬化
HP:0004944	Cerebral aneurysm	脑动脉瘤
HP:0004945	Extracranial internal carotid artery dissection	颅外颈内动脉夹层
HP:0004947	Arteriovenous fistula	动静脉瘘
HP:0004948	Vascular tortuosity	血管迂曲
HP:0004950	Peripheral arterial disease	外周动脉病
HP:0004952	Pulmonary arteriovenous fistulas	肺动静脉瘘
HP:0004953	Abdominal aortic aneurysm	腹主动脉瘤
HP:0004954	Descending aortic aneurysm	降主动脉瘤
HP:0004955	Generalized arterial tortuosity	周身动脉迂曲
HP:0004959	Dilatation of the descending thoracic aorta	胸降主动脉扩张
HP:0004960	Absent pulmonary artery	肺动脉缺失
HP:0004961	Pulmonary artery sling	肺动脉吊带
HP:0004962	Thoracic aorta calcification	胸主动脉钙化
HP:0004963	Calcification of the aorta	主动脉钙化
HP:0004964	Pulmonary arterial medial hypertrophy	肺动脉中膜肥厚
HP:0004966	Medial calcification of large arteries	大动脉中层钙化
HP:0004968	Recurrent cerebral hemorrhage	复发性脑出血
HP:0004969	Peripheral pulmonary artery stenosis	周围肺动脉狭窄
HP:0004970	Ascending aortic dilation	升主动脉扩张
HP:0004971	Pulmonary artery hypoplasia	肺动脉发育不全
HP:0004972	Elevated mean arterial pressure	平均动脉压升高
HP:0004974	Coarctation of abdominal aorta	腹主动脉缩窄
HP:0004975	Erlenmeyer flask deformity of the femurs	股骨锥形瓶状变形
HP:0004976	Knee dislocation	膝关节脱位
HP:0004977	Bilateral radial aplasia	双侧桡骨发育缺陷
HP:0004979	Metaphyseal sclerosis	干骺端硬化
HP:0004980	Metaphyseal rarefaction	干骺端疏松
HP:0004981	prominent ulnar styloid process	突出的尺骨茎突
HP:0004986	Rudimentary to absent fibulae	退行性腓骨退化到缺如
HP:0004987	Mesomelic leg shortening	肢中腿缩短
HP:0004990	Epiphyseal streaking	骨骺条纹变
HP:0004993	Slender long bones with narrow diaphyses	长骨细长伴骨干狭窄
HP:0004997	Multicentric ossification of proximal humeral epiphyses	肱骨近端骨骺多中心骨化
HP:0005001	Recurrent patellar dislocation	复发性髌骨脱位
HP:0005003	aplasia/Hypoplasia of the capital femoral epiphysis	股骨头骨骺发育不全或发育低下
HP:0005004	Flattened proximal radial epiphyses	扁平近端桡骨骨骺
HP:0005005	Femoral bowing present at birth, straightening with time	出生时股骨有弯曲，随年龄增长而变直
HP:0005008	Large joint dislocations	大关节脱位
HP:0005009	Dumbbell-shaped humerus	哑铃状肱骨
HP:0005010	osteomyelitis leading to amputation due to slow healing fractures	因骨折愈合缓慢导致截肢的骨髓炎
HP:0005011	Mesomelic arm shortening	肢中臂缩短
HP:0005013	Dysplastic distal radial epiphyses	桡骨远端骨骺发育不良
HP:0005017	polyarticular chondrocalcinosis	多关节软骨钙质沉着病
HP:0005019	Diaphyseal thickening	骨干增粗
HP:0005021	Bilateral elbow dislocations	双侧肘关节脱臼
HP:0005025	Hypoplastic distal humeri	远端肱骨发育低下
HP:0005026	mesomelic/rhizomelic limb shortening	肢体中部/根部肢体短缩
HP:0005028	Widened proximal tibial metaphyses	胫骨近端干骺端增宽
HP:0005033	Distal ulnar hypoplasia	尺骨远端发育不良
HP:0005035	Shortening of all phalanges of the toes	趾骨缩短
HP:0005036	Unilateral ulnar hypoplasia	单侧尺发育不良
HP:0005037	Proximal radio-ulnar synostosis	近端桡尺骨性愈合
HP:0005039	Multiple long-bone exostoses	多发长骨外生骨疣
HP:0005041	Irregular capital femoral epiphysis	不规则股骨头骨骺
HP:0005042	Irregular, rachitic-like metaphyses	不规则佝偻病样干骺端
HP:0005043	irregular proximal humeral metaphyses	肱骨近端干骺端不规则
HP:0005045	Diaphyseal cortical sclerosis	骨干皮质硬化症
HP:0005048	Synostosis of carpal bones	腕骨的骨性连合
HP:0005050	Anterolateral radial head dislocation	桡骨头前外侧脱位
HP:0005054	Metaphyseal spurs	干骺端马刺
HP:0005059	arthralgia/arthritis	关节痛/关节炎
HP:0005060	limited elbow flexion/extension	肘关节屈曲/扩展受限
HP:0005063	Fragmented, irregular epiphyses	不规则、碎裂的骨骺
HP:0005066	Cone-shaped epiphyses fused within their metaphyses	干骺端融合的锥形骨骺
